menuenter_title,{loaderName} instalado!
gui_round_options_hardmode,Modo Dificil
gui_round_options_timer_limit_desc,"Si no se establece el tiempo, se utilizará el tiempo de ronda predeterminado."
gui_debug_as_zip,Crear como un ZIP
newsfeed_beta_private_title,Bienvenido a la Beta cerrada de {loaderName}
newsfeed_beta_private_desc,"Ya sabes qué hacer aquí, ¡adelante!"
gui_up_prompt,Estás jugando en explorar. Para poder elegir rondas salir al Menú Principal
gui_debug_press_again,Presiona {debugUiHK} nuevamente para abrir Información de depuración
gui_theme_dir,Directorio del Lenguaje
gui_theme_del,Borrar Tema
gui_theme_delete_title,Borrar Tema {selectedTheme}?
gui_theme_delete_desc,Estas Seguro
gui_play_explore_unity,Explorar - Unity
gui_play_explore_endless,Explorar - Sin Fin
gui_explore_endless_title,¿Qué es Explorar sin fin?
gui_explore_endless_desc,Explore Endless es una mezcla de unity y rondas de exploración. Tienes un 50% de posibilidades de obtener un mapa de unity o un mapa de exploración normal.
gui_explore_desc_base,"¿Cómo funciona el modo exploración en {loaderName}?\n- Puedes saltarte rondas como en el juego base\n- Puedes filtrar rondas por su tipo en la configuración.\n- En las rondas de supervivencia, se ignorará la configuración de tu límite de tiempo.\n- Para dejar de jugar rondas de exploración, use el menú de pausa o la GUI de {loaderName}"
gui_explore_unity_title,""
gui_explore_unity_desc,""
gui_localization_faq_title,"¿Como Traducir {loaderName}?"
gui_localization_faq_desc,"- Crea una nueva carpeta con el código de idioma deseado en la carpeta Localización (language-codes.csv en los assets si es necesario).\n- Duplique ""locale.csv"" de la carpeta de localización existente y colóquelo en su nueva carpeta.\n- Abre ""locale.csv"" a través de cualquier editor CSV y cambia lo que quieras.\n- Una vez hecho esto, guarda los cambios en codificación UTF-8 (debe estar configurada de forma predeterminada).\n- Para usar tu localización con el juego , especifique el nombre de la carpeta para ""Nombre del archivo de localización"" en la configuración o use la GUI de {loaderName}.\n- Si desea traducir descripciones de configuración y créditos, copie archivos específicos para ellos (credits.txt y config-descs .txt) de la localización existente y colóquelos en su carpeta de localización y luego tradúzcalos de la misma manera.\n- No dude en enviar sus traducciones en el servidor de Discord de {loaderName}. Lo más probable es que se incluyan con el mod en las próximas actualizaciones."
gui_themes_faq_title,¿Cómo hacer un tema?
gui_themes_faq_desc,""
gui_themes_catalogue_faq_title,¿Cómo agregar mi tema en el catálogo?
gui_themes_catalogue_faq_desc,"Envía archivos de temas en el servidor de Discord y, si es lo suficientemente bueno, se agregará."
gui_btn_got_it,Entiendo!
gui_localization_lang_dir,Directorio del Lenguaje
